epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9809,2.12733,3.11301,1.72678,0.02333,0.40526,0.02927,0.00753,2.77689,3.01776,1.85776,0.0962,0.0002,0.0002
2,14.9712,1.93537,2.31266,1.511,0.02545,0.44211,0.06158,0.01839,2.64647,3.03604,1.76586,0.0914478,0.000447772,0.000447772
3,16.5483,1.97554,1.97235,1.56937,0.02515,0.43684,0.02927,0.00841,2.65638,3.31966,1.98759,0.0866931,0.00069307,0.00069307
4,18.1222,1.90792,1.84256,1.52986,0.0397,0.68947,0.05973,0.02244,2.34952,3.04059,1.78155,0.0819359,0.000935892,0.000935892
5,19.6153,1.81294,2.00974,1.57042,0.0423,0.64211,0.06196,0.02526,2.1027,2.88065,1.69742,0.0771762,0.00117624,0.00117624
6,21.1811,1.87298,1.78415,1.5275,0.03515,0.61053,0.04581,0.01747,2.00208,2.83871,1.66372,0.0724141,0.00141411,0.00141411
7,22.6691,1.85114,1.78385,1.62266,0.09173,0.10526,0.06819,0.03747,2.10094,2.75009,1.97537,0.0676495,0.00164951,0.00164951
8,24.6535,1.8486,1.74114,1.587,0.09273,0.13158,0.08332,0.03677,1.92326,2.68071,1.76306,0.0628824,0.00188243,0.00188243
9,27.1934,1.84823,1.68141,1.58056,0.08508,0.11579,0.06545,0.02458,2.08729,2.71005,2.1762,0.0581129,0.00211288,0.00211288
10,28.9452,1.8808,1.62739,1.58207,0.11141,0.23492,0.09452,0.03712,1.95088,2.49657,1.87418,0.0533409,0.00234085,0.00234085
11,30.5253,1.85649,1.59204,1.54739,0.20158,0.2166,0.14445,0.0543,2.22263,2.53176,2.51492,0.0485663,0.00256635,0.00256635
12,31.9961,1.97302,1.70339,1.68656,0.3287,0.32105,0.23292,0.09546,2.05606,2.31072,2.06851,0.0437894,0.00278937,0.00278937
13,33.4371,1.86583,1.58109,1.61564,0.40762,0.34211,0.28497,0.11247,2.14313,2.22231,2.02332,0.0390099,0.00300992,0.00300992
